"movie", "categ", "winner", "name", "roleOrSong", "note", "year", "oscarNum"
"The Noose", "ACTOR", "False", "Richard Barthelmess", "Nickie Elkins", "", "1927/28", "(1st)"
"The Patent Leather Kid", "ACTOR", "False", "Richard Barthelmess", "The Patent Leather Kid", "", "1927/28", "(1st)"
"The Last Command", "ACTOR", "True", "Emil Jannings", "General Dolgorucki [Grand Duke Sergius Alexander]", "", "1927/28", "(1st)"
"The Way of All Flesh", "ACTOR", "True", "Emil Jannings", "August Schilling", "", "1927/28", "(1st)"
"A Ship Comes In", "ACTRESS", "False", "Louise Dresser", "Mrs. Pleznik", "", "1927/28", "(1st)"
"7th Heaven", "ACTRESS", "True", "Janet Gaynor", "Diane", "", "1927/28", "(1st)"
"Street Angel", "ACTRESS", "True", "Janet Gaynor", "Angela", "", "1927/28", "(1st)"
"Sunrise", "ACTRESS", "True", "Janet Gaynor", "The Wife", "", "1927/28", "(1st)"
"Sadie Thompson", "ACTRESS", "False", "Gloria Swanson", "Sadie Thompson", "", "1927/28", "(1st)"
"Sunrise", "ART DIRECTION", "False", "Rochus Gliese", "", "", "1927/28", "(1st)"
"The Dove", "ART DIRECTION", "True", "William Cameron Menzies", "", "", "1927/28", "(1st)"
"Tempest", "ART DIRECTION", "False", "William Cameron Menzies", "", "", "1927/28", "(1st)"
"Harry Oliver", "ART DIRECTION", "False", "7th Heaven", "", "", "1927/28", "(1st)"
"The Devil Dancer", "CINEMATOGRAPHY", "False", "George Barnes", "", "", "1927/28", "(1st)"
"The Magic Flame", "CINEMATOGRAPHY", "False", "George Barnes", "", "", "1927/28", "(1st)"
"Sadie Thompson", "CINEMATOGRAPHY", "False", "George Barnes", "", "", "1927/28", "(1st)"
"Sunrise", "CINEMATOGRAPHY", "True", "Charles Rosher", "", "[NOTE: For this awards year; awards were presented in the name of the individual and could honor work on one or more films. Charles Rosher and Karl Struss were both honored for cinematography on this film. It is considered a single nomination for the film.]", "1927/28", "(1st)"
"Sunrise", "CINEMATOGRAPHY", "True", "Karl Struss", "", "[NOTE: For this awards year; awards were presented in the name of the individual and could honor work on one or more films. Charles Rosher and Karl Struss were both honored for cinematography on this film. It is considered a single nomination for the film.]", "1927/28", "(1st)"
"Two Arabian Knights", "DIRECTING (Comedy Picture)", "True", "Lewis Milestone", "", "", "1927/28", "(1st)"
"Speedy", "DIRECTING (Comedy Picture)", "False", "Ted Wilde", "", "", "1927/28", "(1st)"
"7th Heaven", "DIRECTING (Dramatic Picture)", "True", "Frank Borzage", "", "", "1927/28", "(1st)"
"Sorrell and Son", "DIRECTING (Dramatic Picture)", "False", "Herbert Brenon", "", "", "1927/28", "(1st)"
"The Crowd", "DIRECTING (Dramatic Picture)", "False", "King Vidor", "", "", "1927/28", "(1st)"
"Wings", "ENGINEERING EFFECTS", "True", "Roy Pomeroy", "", "", "1927/28", "(1st)"
"The Racket", "OUTSTANDING PICTURE", "False", "The Caddo Company", "", "", "1927/28", "(1st)"
"7th Heaven", "OUTSTANDING PICTURE", "False", "Fox", "", "", "1927/28", "(1st)"
"Wings", "OUTSTANDING PICTURE", "True", "Paramount Famous Lasky", "", "", "1927/28", "(1st)"
"Sunrise", "UNIQUE AND ARTISTIC PICTURE", "True", "Fox", "", "", "1927/28", "(1st)"
"The Crowd", "UNIQUE AND ARTISTIC PICTURE", "False", "Metro-Goldwyn-Mayer", "", "", "1927/28", "(1st)"
"Chang", "UNIQUE AND ARTISTIC PICTURE", "False", "Paramount Famous Lasky", "", "", "1927/28", "(1st)"
"The Jazz Singer", "WRITING (Adaptation)", "False", "Alfred Cohn", "", "", "1927/28", "(1st)"
"Glorious Betsy", "WRITING (Adaptation)", "False", "Anthony Coldeway", "", "", "1927/28", "(1st)"
"7th Heaven", "WRITING (Adaptation)", "True", "Benjamin Glazer", "", "", "1927/28", "(1st)"
"The Last Command", "WRITING (Original Story)", "False", "Lajos Biro", "", "", "1927/28", "(1st)"
"Underworld", "WRITING (Original Story)", "True", "Ben Hecht", "", "", "1927/28", "(1st)"
"The Private Life of Helen of Troy", "WRITING (Title Writing)", "False", "Gerald Duffy", "", "", "1927/28", "(1st)"
